service_id,date,exception_type
3_3_1,20220429,1
312_1_1,20220423,1
312_1_1,20220430,1
718_1,20220423,1
718_1,20220430,1
113_2_1,20220419,1
113_2_1,20220420,1
113_2_1,20220421,1
113_2_1,20220422,1
113_2_1,20220426,1
113_2_1,20220427,1
113_2_1,20220428,1
113_2_1,20220429,1
150_1,20220419,1
150_1,20220420,1
150_1,20220421,1
150_1,20220422,1
150_1,20220426,1
150_1,20220427,1
150_1,20220428,1
150_1,20220429,1
52_1,20220419,1
52_1,20220420,1
52_1,20220421,1
52_1,20220422,1
52_1,20220426,1
52_1,20220427,1
52_1,20220428,1
52_1,20220429,1
131_1,20220419,1
131_1,20220420,1
131_1,20220421,1
131_1,20220422,1
131_1,20220426,1
131_1,20220427,1
131_1,20220428,1
131_1,20220429,1
132_1,20220419,1
132_1,20220420,1
132_1,20220421,1
132_1,20220422,1
132_1,20220426,1
132_1,20220427,1
132_1,20220428,1
132_1,20220429,1
44_1_1,20220419,1
44_1_1,20220420,1
44_1_1,20220421,1
44_1_1,20220422,1
44_1_1,20220426,1
44_1_1,20220427,1
44_1_1,20220428,1
44_1_1,20220429,1
306_2_1,20220421,1
306_2_1,20220422,1
306_2_1,20220428,1
306_2_1,20220429,1
405_1,20220417,1
405_1,20220418,1
405_1,20220424,1
405_1,20220425,1
202_3_1,20220419,1
202_3_1,20220420,1
202_3_1,20220421,1
202_3_1,20220422,1
202_3_1,20220426,1
202_3_1,20220427,1
202_3_1,20220428,1
202_3_1,20220429,1
110_1,20220417,1
110_1,20220418,1
110_1,20220424,1
110_1,20220425,1
3301_1,20220419,1
3301_1,20220420,1
3301_1,20220421,1
3301_1,20220422,1
3301_1,20220426,1
3301_1,20220427,1
3301_1,20220428,1
3301_1,20220429,1
32_1,20220417,1
32_1,20220418,1
32_1,20220424,1
32_1,20220425,1
101_3_1,20220417,1
101_3_1,20220418,1
101_3_1,20220424,1
101_3_1,20220425,1
417_1_1,20220419,1
417_1_1,20220420,1
417_1_1,20220421,1
417_1_1,20220422,1
417_1_1,20220426,1
417_1_1,20220427,1
417_1_1,20220428,1
417_1_1,20220429,1
201_1,20220417,1
201_1,20220418,1
201_1,20220424,1
201_1,20220425,1
212_1_1,20220423,1
212_1_1,20220430,1
111_1,20220417,1
111_1,20220424,1
62_1,20220419,1
62_1,20220420,1
62_1,20220421,1
62_1,20220422,1
62_1,20220426,1
62_1,20220427,1
62_1,20220428,1
62_1,20220429,1
108_2_1,20220419,1
108_2_1,20220420,1
108_2_1,20220421,1
108_2_1,20220422,1
108_2_1,20220426,1
108_2_1,20220427,1
108_2_1,20220428,1
108_2_1,20220429,1
1001_1,20220417,1
1001_1,20220418,1
1001_1,20220424,1
1001_1,20220425,1
301_2_1,20220419,1
301_2_1,20220420,1
301_2_1,20220421,1
301_2_1,20220422,1
301_2_1,20220426,1
301_2_1,20220427,1
301_2_1,20220428,1
301_2_1,20220429,1
511_1,20220423,1
511_1,20220430,1
44_1,20220417,1
44_1,20220418,1
44_1,20220424,1
44_1,20220425,1
112_4_1,20220417,1
112_4_1,20220418,1
112_4_1,20220424,1
112_4_1,20220425,1
18_1,20220417,1
18_1,20220418,1
18_1,20220424,1
18_1,20220425,1
3193_1,20220419,1
3193_1,20220420,1
3193_1,20220421,1
3193_1,20220422,1
3193_1,20220426,1
3193_1,20220427,1
3193_1,20220428,1
3193_1,20220429,1
103_3_1,20220417,1
103_3_1,20220418,1
103_3_1,20220424,1
103_3_1,20220425,1
14_1,20220417,1
14_1,20220418,1
14_1,20220424,1
14_1,20220425,1
225_1,20220419,1
225_1,20220420,1
225_1,20220421,1
225_1,20220422,1
225_1,20220426,1
225_1,20220427,1
225_1,20220428,1
225_1,20220429,1
47_1_1,20220419,1
47_1_1,20220420,1
47_1_1,20220421,1
47_1_1,20220422,1
47_1_1,20220426,1
47_1_1,20220427,1
47_1_1,20220428,1
47_1_1,20220429,1
2061_1,20220423,1
2061_1,20220430,1
13_1,20220417,1
13_1,20220418,1
13_1,20220424,1
13_1,20220425,1
2_1,20220417,1
2_1,20220424,1
74_1,20220419,1
74_1,20220420,1
74_1,20220421,1
74_1,20220422,1
74_1,20220426,1
74_1,20220427,1
74_1,20220428,1
74_1,20220429,1
602_2_1,20220419,1
602_2_1,20220420,1
602_2_1,20220421,1
602_2_1,20220422,1
602_2_1,20220426,1
602_2_1,20220427,1
602_2_1,20220428,1
602_2_1,20220429,1
22_2_1,20220419,1
22_2_1,20220420,1
22_2_1,20220421,1
22_2_1,20220422,1
22_2_1,20220426,1
22_2_1,20220427,1
22_2_1,20220428,1
22_2_1,20220429,1
2042_1,20220423,1
2042_1,20220430,1
206_5_1,20220419,1
206_5_1,20220420,1
206_5_1,20220421,1
206_5_1,20220422,1
206_5_1,20220426,1
206_5_1,20220427,1
206_5_1,20220428,1
206_5_1,20220429,1
318_1,20220419,1
318_1,20220420,1
318_1,20220421,1
318_1,20220422,1
318_1,20220426,1
318_1,20220427,1
318_1,20220428,1
318_1,20220429,1
506_1_1,20220423,1
506_1_1,20220430,1
516_1_1,20220419,1
516_1_1,20220420,1
516_1_1,20220421,1
516_1_1,20220426,1
516_1_1,20220427,1
516_1_1,20220428,1
303_1,20220417,1
303_1,20220424,1
11_1_1,20220423,1
11_1_1,20220430,1
609_1,20220419,1
609_1,20220420,1
609_1,20220421,1
609_1,20220422,1
609_1,20220426,1
609_1,20220427,1
609_1,20220428,1
609_1,20220429,1
316_1,20220419,1
316_1,20220420,1
316_1,20220421,1
316_1,20220422,1
316_1,20220426,1
316_1,20220427,1
316_1,20220428,1
316_1,20220429,1
605_1,20220423,1
605_1,20220430,1
2_2_1,20220419,1
2_2_1,20220420,1
2_2_1,20220421,1
2_2_1,20220422,1
2_2_1,20220426,1
2_2_1,20220427,1
2_2_1,20220428,1
2_2_1,20220429,1
517_1,20220419,1
517_1,20220420,1
517_1,20220421,1
517_1,20220422,1
517_1,20220426,1
517_1,20220427,1
517_1,20220428,1
517_1,20220429,1
CCL MTuWThF-XHol_1,20220419,1
CCL MTuWThF-XHol_1,20220420,1
CCL MTuWThF-XHol_1,20220421,1
CCL MTuWThF-XHol_1,20220422,1
CCL MTuWThF-XHol_1,20220426,1
CCL MTuWThF-XHol_1,20220427,1
CCL MTuWThF-XHol_1,20220428,1
CCL MTuWThF-XHol_1,20220429,1
512_1_1,20220419,1
512_1_1,20220420,1
512_1_1,20220421,1
512_1_1,20220422,1
512_1_1,20220426,1
512_1_1,20220427,1
512_1_1,20220428,1
512_1_1,20220429,1
715_1,20220423,1
715_1,20220430,1
122_1_1,20220419,1
122_1_1,20220420,1
122_1_1,20220421,1
122_1_1,20220422,1
122_1_1,20220426,1
122_1_1,20220427,1
122_1_1,20220428,1
122_1_1,20220429,1
141_1,20220419,1
141_1,20220420,1
141_1,20220421,1
141_1,20220422,1
141_1,20220426,1
141_1,20220427,1
141_1,20220428,1
141_1,20220429,1
3171_1,20220419,1
3171_1,20220420,1
3171_1,20220421,1
3171_1,20220422,1
3171_1,20220426,1
3171_1,20220427,1
3171_1,20220428,1
3171_1,20220429,1
2_4_1,20220418,1
2_4_1,20220425,1
236_1,20220419,1
236_1,20220420,1
236_1,20220421,1
236_1,20220422,1
236_1,20220426,1
236_1,20220427,1
236_1,20220428,1
236_1,20220429,1
219_1_1,20220419,1
219_1_1,20220420,1
219_1_1,20220421,1
219_1_1,20220422,1
219_1_1,20220426,1
219_1_1,20220427,1
219_1_1,20220428,1
219_1_1,20220429,1
WHF Su+Hol_1,20220417,1
WHF Su+Hol_1,20220418,1
WHF Su+Hol_1,20220424,1
WHF Su+Hol_1,20220425,1
