service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
415_1,0,0,0,0,0,0,0,20220206,20220312
506_1_1,0,0,0,0,0,0,0,20220206,20220312
9_3_1,0,0,0,0,0,0,0,20220206,20220312
92_1,0,0,0,0,0,0,0,20220206,20220312
102_1,0,0,0,0,0,0,0,20220206,20220312
215_1,0,0,0,0,0,0,0,20220206,20220312
3301_1_1,0,0,0,0,0,0,0,20220206,20220312
15_2_1,0,0,0,0,0,0,0,20220206,20220312
3331_1,0,0,0,0,0,0,0,20220206,20220312
1_4_1,0,0,0,0,0,0,0,20220206,20220312
310_1,0,0,0,0,0,0,0,20220206,20220312
601_2_1,0,0,0,0,0,0,0,20220206,20220312
211_2_1,0,0,0,0,0,0,0,20220206,20220312
17_1_1,0,0,0,0,0,0,0,20220206,20220312
118_1_1,0,0,0,0,0,0,0,20220206,20220312
38_1,0,0,0,0,0,0,0,20220206,20220312
419_1,0,0,0,0,0,0,0,20220206,20220312
322_1_1,0,0,0,0,0,0,0,20220206,20220312
203_1_1,0,0,0,0,0,0,0,20220206,20220312
36_1_1,0,0,0,0,0,0,0,20220206,20220312
200_2_1,0,0,0,0,0,0,0,20220206,20220312
149_1,0,0,0,0,0,0,0,20220206,20220312
116_1_1,0,0,0,0,0,0,0,20220206,20220312
210_2_1,0,0,0,0,0,0,0,20220206,20220312
200_1,0,0,0,0,0,0,0,20220206,20220312
152_1_1,0,0,0,0,0,0,0,20220206,20220312
413_1,0,0,0,0,0,0,0,20220206,20220312
529_1,0,0,0,0,0,0,0,20220206,20220312
703_1,0,0,0,0,0,0,0,20220206,20220312
27_1,0,0,0,0,0,0,0,20220206,20220312
506_1,0,0,0,0,0,0,0,20220206,20220312
320_1,0,0,0,0,0,0,0,20220206,20220312
510_1_1,0,0,0,0,0,0,0,20220206,20220312
207_1,0,0,0,0,0,0,0,20220206,20220312
993_1,0,0,0,0,0,0,0,20220206,20220312
107_1,0,0,0,0,0,0,0,20220206,20220312
2_4_1,0,0,0,0,0,0,0,20220206,20220312
408_3_1,0,0,0,0,0,0,0,20220206,20220312
1_3_1,0,0,0,0,0,0,0,20220206,20220312
130_1,0,0,0,0,0,0,0,20220206,20220312
2041_1,0,0,0,0,0,0,0,20220206,20220312
30_1,0,0,0,0,0,0,0,20220206,20220312
152_1,0,0,0,0,0,0,0,20220206,20220312
134_1,0,0,0,0,0,0,0,20220206,20220312
35_2_1,0,0,0,0,0,0,0,20220206,20220312
40_2_1,0,0,0,0,0,0,0,20220206,20220312
8_2_1,0,0,0,0,0,0,0,20220206,20220312
101_2_1,0,0,0,0,0,0,0,20220206,20220312
310_6_1,0,0,0,0,0,0,0,20220206,20220312
2102_1,0,0,0,0,0,0,0,20220206,20220312
43_2_1,0,0,0,0,0,0,0,20220206,20220312
16_2_1,0,0,0,0,0,0,0,20220206,20220312
202_1,0,0,0,0,0,0,0,20220206,20220312
11_3_1,0,0,0,0,0,0,0,20220206,20220312
201_5_1,0,0,0,0,0,0,0,20220206,20220312
602_3_1,0,0,0,0,0,0,0,20220206,20220312
3071_1,0,0,0,0,0,0,0,20220206,20220312
215_2_1,0,0,0,0,0,0,0,20220206,20220312
5555_1,0,0,0,0,0,0,0,20220206,20220312
132_1,0,0,0,0,0,0,0,20220206,20220312
37_1,0,0,0,0,0,0,0,20220206,20220312
1012_1,0,0,0,0,0,0,0,20220206,20220312
201_1_1,0,0,0,0,0,0,0,20220206,20220312
514_1,0,0,0,0,0,0,0,20220206,20220312
303_3_1,0,0,0,0,0,0,0,20220206,20220312
140_1,0,0,0,0,0,0,0,20220206,20220312
223_1,0,0,0,0,0,0,0,20220206,20220312
502_1,0,0,0,0,0,0,0,20220206,20220312
79_1,0,0,0,0,0,0,0,20220206,20220312
1071_1,0,0,0,0,0,0,0,20220206,20220312
45_1_1,0,0,0,0,0,0,0,20220206,20220312
