route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,etm_id
6,Rail Sa,JVL__1__9367__RAIL__Rail_Sa,,1,,[@6.0.20608239@]JVL:801#24315#24322,,2,9367
9915,207_7,N5__0__101__TZM__207__7__207__7,B=Operates on request to Baylands Loop# Grenada Village and Johnsonville West,0,,[@6.0.22286227@]N5:9#311#421,,2,101
9,CCL MTuWThF-XHol,CCL__0__10541__WCCL__CCL_MTuWThF-XHol,,0,,[@6.0.98043685@]CCL:859#24732#24734,,2,10541
9914,206_8,N4__0__101__TZM__206__8__206__8,W=Operates on request via Wilton Road (as far as Churchill Drive)# via Broadmeadows# and via Calcutta# Waru and Punjab Streets,0,,[@6.0.22286195@]N4:7#241#306,,2,101
9,CCL MTuWThF-XHol,CCL__0__10517__WCCL__CCL_MTuWThF-XHol,,0,,[@6.0.98043685@]CCL:859#24732#24734,,2,10517
70,108_3,7__1__716__TZM__108__3__108__3,,1,,[@364.0.17528115@]1,,2,716
1700,602_6,170__0__717__TZM__602__6__602__6,,0,,[@356.0.42935339@]170:564#18381#18436,,2,717
120,200_3,12__0__439__NBM__200__3__200__3,,0,,[@364.0.23227021@]2,,2,439
1210,407_5,121__0__411__TZM__407__5__407__5,,0,,[@356.0.42934812@]1,,2,411
70,218_2,7__0__471__TZM__218__2__218__2,,0,,[@364.0.17528115@]2,,2,471
2360,305_5,236__1__424__TZM__305__5__305__5,,1,,[@356.0.45924880@]236:664#21302#21336,,2,424
6,Rail Su+Hol (JVL),JVL__0__9380__RAIL__Rail_Su+Hol_(JVL),,0,,[@6.0.20608239@]JVL:803#24333#24340,,2,9380
5,Rail SaSu+Hol,HVL__1__3847__RAIL__Rail_SaSu+Hol,,1,,[@6.0.20608367@]HVL:783#24101#24116,,2,3847
2610,48_4,261__0__113__UZM__48__4__48__4,,0,,[@366.0.28965564@]1,,2,113
120,1_2,12__0__441__NBM__1__2__1__2,,0,,[@364.0.23227021@]2,,2,441
70,220_4,7__1__492__TZM__220__4__220__4,,1,,[@364.0.17528115@]1,,2,492
140,22,14__1__714__NBM__22__22,,1,,[@364.0.23225636@]5,,2,714
600,2021,60__0__415__MNM__2021__2021,,0,,[@356.0.29339884@]2,,2,415
